"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
6.4875,-4.73,0.70,4.37
6.5000,-5.06,0.84,4.23
6.5125,-6.18,1.09,4.29
6.5250,-6.83,0.70,4.85
6.5375,-6.97,0.67,5.15
6.5500,-6.32,3.28,6.13
6.5625,-7.72,6.24,7.62
6.5750,-9.99,10.33,10.28
6.5875,-13.57,13.02,14.05
6.6000,-16.65,16.97,20.63
6.6125,-19.98,25.22,27.04
6.6250,-30.59,31.04,29.34
6.6375,-48.70,31.32,26.48
6.6500,-50.18,34.99,18.76
6.6625,-50.27,35.27,5.15
6.6750,-50.21,33.23,-14.58
6.6875,-50.27,38.38,-29.27
6.7000,-50.30,44.62,-34.12
6.7125,-50.27,43.70,-34.20
6.7250,-50.24,43.22,-36.92
6.7375,-50.24,49.69,-35.26
6.7500,-50.30,31.94,-20.54
6.7625,-50.16,-4.17,-12.82
6.7750,-50.21,16.43,-15.45
6.7875,-50.18,61.25,-21.47
6.8000,-50.32,61.27,-40.33
6.8125,-50.24,22.95,-47.08
6.8250,-50.30,-0.42,-31.15
6.8375,-49.40,15.71,-13.26
6.8500,-37.14,37.48,-12.87
6.8625,-23.17,52.68,-15.70
6.8750,-17.71,47.98,-14.27
6.8875,-14.75,37.71,-9.12
6.9000,-12.06,31.91,-1.40
6.9125,-7.89,33.87,2.19
6.9250,-4.08,34.35,1.43
6.9375,-4.08,29.00,1.09
6.9500,-4.78,22.62,2.83
6.9625,-3.66,20.07,5.85
6.9750,-2.46,20.27,8.99
6.9875,-2.12,20.24,11.73
7.0000,-3.02,17.89,13.80
7.0125,-3.64,15.06,15.20
7.0250,-4.25,11.90,16.88
7.0375,-4.36,12.04,17.86
7.0500,-4.81,11.59,17.89
7.0625,-5.65,9.55,18.56
7.0750,-6.15,8.09,18.50
7.0875,-5.60,8.15,19.04
7.1000,-5.96,6.75,18.17
7.1125,-5.68,7.11,16.97
7.1250,-5.48,6.83,15.99
7.1375,-5.43,5.60,15.99
7.1500,-5.48,2.83,15.62
7.1625,-5.93,0.45,15.09
7.1750,-5.74,-0.08,13.86
7.1875,-4.62,1.23,12.96
7.2000,-4.36,2.30,11.73
7.2125,-3.55,4.87,10.81
7.2250,-3.44,4.37,10.53
7.2375,-3.86,1.77,10.72
7.2500,-3.64,0.34,10.86
7.2625,-3.08,-0.14,10.47
7.2750,-2.88,1.01,10.05
7.2875,-2.57,2.19,9.21
7.3000,-2.38,1.85,8.82
7.3125,-2.26,1.09,8.99
7.3250,-2.49,0.45,9.32
7.3375,-2.57,-0.42,9.52
7.3500,-2.52,-0.25,9.66
7.3625,-2.21,0.42,9.60
7.3750,-1.96,0.93,9.66
7.3875,-2.26,0.73,9.83
7.4000,-2.26,0.09,9.83
7.4125,-2.24,-0.28,10.08
7.4250,-2.12,-0.05,10.50
7.4375,-1.98,-0.56,10.61
7.4500,-2.26,-0.78,10.67
7.4625,-2.46,-0.56,10.64
7.4750,-2.49,-0.72,10.67
7.4875,-2.26,-0.84,10.78
7.5000,-2.21,-0.39,10.92
7.5125,-2.12,-0.28,10.47
7.5250,-2.21,-0.81,10.39
7.5375,-2.49,-1.42,10.44
7.5500,-2.68,-2.32,10.56
7.5625,-2.38,-1.65,10.67
7.5750,-1.79,-1.00,10.61
7.5875,-1.42,-1.03,10.39
7.6000,-1.17,-1.26,10.50
7.6125,-1.00,-1.68,10.64
7.6250,-0.70,-1.76,10.58
7.6375,-0.92,-1.62,10.75
7.6500,-1.20,-1.82,10.92
7.6625,-1.48,-2.12,10.98
7.6750,-1.54,-2.26,10.84
7.6875,-1.42,-2.10,10.42
7.7000,-1.65,-1.28,10.05
7.7125,-1.87,-1.14,9.74
7.7250,-2.21,-2.01,9.66
7.7375,-3.19,-2.29,9.86
7.7500,-3.72,-1.26,10.36
7.7625,-4.42,-0.56,10.56
7.7750,-4.98,-0.11,10.61
7.7875,-4.95,0.17,10.67
7.8000,-5.18,0.28,10.44
7.8125,-5.18,-0.14,10.39
7.8250,-5.34,-0.25,10.47
7.8375,-5.48,-0.22,11.17
7.8500,-5.62,-0.17,11.09
7.8625,-6.10,0.06,11.06
7.8750,-6.43,0.56,10.70
7.8875,-6.74,0.95,11.14
7.9000,-6.83,1.35,11.23
7.9125,-7.22,2.05,10.95
7.9250,-7.19,2.21,9.97
7.9375,-6.83,2.30,8.74
7.9500,-6.43,2.07,8.96
7.9625,-5.43,1.23,8.68
7.9750,-5.57,0.65,8.79
7.9875,-5.57,0.53,8.20
8.0000,-5.74,0.93,7.45
8.0125,-6.29,1.35,6.72
8.0250,-6.52,1.68,6.36
8.0375,-6.63,2.27,5.96
8.0500,-6.91,2.41,5.88
8.0625,-7.05,2.35,6.24
8.0750,-6.91,2.16,6.05
8.0875,-6.83,1.96,5.85
8.1000,-6.66,2.19,5.55
8.1125,-6.41,2.83,5.18
8.1250,-6.29,3.53,4.90
8.1375,-6.38,3.78,4.93
8.1500,-6.91,3.59,5.15
8.1625,-7.39,3.25,5.27
8.1750,-7.30,3.00,5.35
8.1875,-6.94,3.14,5.41
8.2000,-6.38,3.47,5.29
8.2125,-6.01,3.61,5.04
8.2250,-6.32,3.45,4.90
8.2375,-7.11,2.66,4.96
8.2500,-7.72,1.68,5.07
8.2625,-7.81,1.09,5.04
8.2750,-7.44,1.04,4.90
8.2875,-6.69,1.54,4.71
8.3000,-6.15,2.10,4.76
8.3125,-6.21,2.07,4.79
8.3250,-7.08,1.37,5.07
8.3375,-7.61,0.87,5.24
8.3500,-7.58,0.53,5.29
8.3625,-7.39,0.53,5.43
8.3750,-7.41,1.32,5.49
8.3875,-7.67,2.05,5.49
8.4000,-8.84,2.47,5.68
8.4125,-10.63,2.41,5.82
8.4250,-11.78,2.16,6.02
8.4375,-12.09,1.93,6.27
8.4500,-11.95,1.63,6.05
8.4625,-11.22,1.29,5.82
8.4750,-10.41,0.81,5.55
8.4875,-10.38,0.67,5.60
8.5000,-10.19,1.21,5.85
8.5125,-9.88,1.96,5.96
8.5250,-9.65,2.47,5.94
8.5375,-9.12,2.89,6.16
8.5500,-8.70,3.36,6.22
8.5625,-8.62,3.47,6.19
8.5750,-8.76,2.86,6.08
8.5875,-8.98,2.16,6.08
8.6000,-9.35,2.10,5.99
8.6125,-9.54,2.10,5.80
8.6250,-9.60,1.82,5.60
8.6375,-9.37,1.74,5.60
8.6500,-9.26,2.13,5.57
8.6625,-9.49,2.44,5.27
